date,time_et,currency,impact,title,forecast,actual,previous
2007-01-01,17:30,AUD,1,AIG Manufacturing Index,,52.4,54.4
2007-01-01,21:30,CNY,2,Caixin Manufacturing PMI,,52.4,53
2007-01-02,00:30,AUD,2,Commodity Prices y/y,,11.00%,13.90%
2007-01-02,03:15,EUR,1,Spanish Manufacturing PMI,,57.2,56.1
2007-01-02,03:45,EUR,1,Italian Manufacturing PMI,55.5,55,54.8
2007-01-02,04:00,EUR,2,Final Manufacturing PMI,56.5,56.5,56.6
2007-01-02,04:30,GBP,2,Final Manufacturing PMI,53,51.9,52.5
2007-01-03,00:00,USD,1,Total Vehicle Sales,16.5M,16.7M,16.1M
2007-01-03,03:00,EUR,1,Spanish Unemployment Change,,-0.3K,30.3K
2007-01-03,03:30,CHF,2,Manufacturing PMI,66,65,67
2007-01-03,03:55,EUR,2,German Unemployment Change,-110K,-96K,-90K
2007-01-03,04:30,GBP,1,Construction PMI,54.5,57.5,54.8
2007-01-03,05:09,EUR,1,German 10-y Bond Auction,,3.94|1.8,3.72|1.6
2007-01-03,08:15,USD,2,ADP Non-Farm Employment Change,120K,-40K,230K
2007-01-03,10:00,USD,3,ISM Manufacturing PMI,51,51.4,49.5
2007-01-03,10:00,USD,1,Construction Spending m/m,-0.60%,-0.20%,-1.00%
2007-01-03,10:00,USD,1,ISM Manufacturing Prices,54,47.5,53.5
2007-01-03,14:00,USD,3,FOMC Meeting Minutes,,,
2007-01-03,16:45,NZD,3,Trade Balance,-976M,-785M,-1174M
2007-01-03,17:30,AUD,1,AIG Services Index,,49.5,48.5
2007-01-04,01:45,CHF,3,CPI m/m,0.10%,0.00%,0.00%
2007-01-04,03:15,EUR,1,Spanish Services PMI,,58.1,60.4
2007-01-04,03:45,EUR,1,Italian Services PMI,56.2,55,56.2
2007-01-04,04:00,EUR,1,Final Services PMI,57.5,57.2,57.6
2007-01-04,04:30,GBP,2,Final Services PMI,60,60.6,59.8
2007-01-04,04:30,GBP,1,Mortgage Approvals,120K,129K,128K
